"""Fiskál.rok/období"""0FISCPER:0FISCPER;"""Kapitola"""0FM_AREA:0FM_AREA;"""IČO"""ZC_UCJED__ZC_ICO:ZC_ICO;"""Účelový znak"""ZC_ZREUZ:ZC_ZREUZ;"""Kód územního celku"""ZC_LAU:ZC_LAU;"""Položka"""ZCMMT_ITM:ZCMMT_ITM;"""Skutečnost"""515ZXV8DTAJB414WHCVJQIBY1:ZU_ROZKZ
2025001;0304;00006599;04001;CZ020;5323;0.00 
2025001;0304;00006599;04001;CZ031;5323;0.00 
2025001;0304;00006599;04001;CZ032;5323;0.00 
2025001;0304;00006599;04001;CZ041;5323;0.00 
2025001;0304;00006599;04001;CZ042;5323;0.00 
2025001;0304;00006599;04001;CZ051;5323;0.00 
2025001;0304;00006599;04001;CZ052;5323;0.00 
2025001;0304;00006599;04001;CZ053;5323;0.00 
2025001;0304;00006599;04001;CZ063;5323;0.00 
2025001;0304;00006599;04001;CZ064;5323;0.00 
2025001;0304;00006599;04001;CZ071;5323;0.00 
2025001;0304;00006599;04001;CZ072;5323;0.00 
2025001;0304;00006599;04001;CZ080;5323;0.00 
2025001;0313;00551023;13021;CZ020;5323;462412.04 
2025001;0313;00551023;13021;CZ0202;5321;1231141.69 
2025001;0313;00551023;13021;CZ032;5323;1772136.40 
2025001;0313;00551023;13021;CZ041;5323;917630.99 
2025001;0313;00551023;13021;CZ0413;5321;624666.24 
2025001;0313;00551023;13021;CZ042;5323;2466565.15 
2025001;0313;00551023;13021;CZ0421;5321;2597944.85 
2025001;0313;00551023;13021;CZ0424;5321;1352598.92 
2025001;0313;00551023;13021;CZ0426;5321;1160705.33 
2025001;0313;00551023;13021;CZ051;5323;1673998.17 
2025001;0313;00551023;13021;CZ0512;5321;0.00 
2025001;0313;00551023;13021;CZ0513;5321;1827996.66 
2025001;0313;00551023;13021;CZ052;5323;33715943.46 
2025001;0313;00551023;13021;CZ0521;5329;0.00 
2025001;0313;00551023;13021;CZ053;5323;46678071.78 
2025001;0313;00551023;13021;CZ063;5323;1219444.19 
2025001;0313;00551023;13021;CZ0642;5321;7204954.40 
2025001;0313;00551023;13021;CZ0644;5321;1604653.33 
2025001;0313;00551023;13021;CZ0646;5321;0.00 
2025001;0313;00551023;13021;CZ071;5323;4301900.93 
2025001;0313;00551023;13021;CZ0711;5321;656143.74 
2025001;0313;00551023;13021;CZ0712;5321;1896056.38 
2025001;0313;00551023;13021;CZ0712;5329;0.00 
2025001;0313;00551023;13021;CZ080;5323;1326925.84 
2025001;0313;00551023;13021;CZ0803;5321;0.00 
2025001;0313;00551023;13023;CZ0100;5321;3559367.85 
2025001;0313;00551023;13023;CZ0201;5321;12820.92 
2025001;0313;00551023;13023;CZ0205;5321;211390.48 
2025001;0313;00551023;13023;CZ0206;5321;63403.82 
2025001;0313;00551023;13023;CZ0209;5321;587669.34 
2025001;0313;00551023;13023;CZ020A;5321;686337.90 
2025001;0313;00551023;13023;CZ0317;5321;148963.31 
2025001;0313;00551023;13023;CZ041;5323;293.26 
2025001;0313;00551023;13023;CZ0521;5321;4667.82 
2025001;0313;00551023;13023;CZ0522;5321;6550.61 
2025001;0313;00551023;13023;CZ0525;5321;17395.47 
2025001;0313;00551023;13023;CZ0531;5321;93000.60 
2025001;0313;00551023;13023;CZ0532;5321;140056.00 
2025001;0313;00551023;13023;CZ0635;5321;441784.49 
2025001;0313;00551023;13023;CZ064;5323;183425.47 
2025001;0313;00551023;13023;CZ0641;5321;73719.93 
2025001;0313;00551023;13023;CZ0643;5321;18048.84 
2025001;0313;00551023;13023;CZ0645;5321;32425.62 
2025001;0313;00551023;13023;CZ080;5323;36190.31 
2025001;0313;00551023;13023;CZ0801;5321;435094.70 
2025001;0313;00551023;13307;CZ0100;5321;31500000.00 
2025001;0313;00551023;13307;CZ020;5323;10700000.00 
2025001;0313;00551023;13307;CZ031;5323;11000000.00 
2025001;0313;00551023;13307;CZ032;5323;20700000.00 
2025001;0313;00551023;13307;CZ041;5323;3100000.00 
2025001;0313;00551023;13307;CZ042;5323;60000000.00 
2025001;0313;00551023;13307;CZ051;5323;8900000.00 
2025001;0313;00551023;13307;CZ052;5323;16200000.00 
2025001;0313;00551023;13307;CZ053;5323;11000000.00 
2025001;0313;00551023;13307;CZ063;5323;12600000.00 
2025001;0313;00551023;13307;CZ064;5323;22000000.00 
2025001;0313;00551023;13307;CZ071;5323;17800000.00 
2025001;0313;00551023;13307;CZ072;5323;4900000.00 
2025001;0313;00551023;13307;CZ080;5323;27000000.00 
2025001;0313;00551023;13502;CZ0100;6341;0.00 
2025001;0313;00551023;13502;CZ0204;5321;0.00 
2025001;0313;00551023;13502;CZ0204;6341;0.00 
2025001;0313;00551023;13502;CZ0205;6341;0.00 
2025001;0313;00551023;13502;CZ0208;5321;0.00 
2025001;0313;00551023;13502;CZ0208;6341;0.00 
2025001;0313;00551023;13502;CZ0209;6341;0.00 
2025001;0313;00551023;13502;CZ031;6342;0.00 
2025001;0313;00551023;13502;CZ0321;6341;0.00 
2025001;0313;00551023;13502;CZ0322;6341;0.00 
