0FISCPER:0FISCPER;ZC_UCJED:ZC_UCJED;ZC_ICO:ZC_ICO;ZFUNDS_CT:ZFUNDS_CT;0FM_AREA:0FM_AREA;/BIC/ZC_PSUK:ZC_PSUK;/BIC/ZC_POLVK2:ZC_POLVK2;KYF_0001:ZU_ROZSCH;KYF_0002:ZU_ROZPZM;KYF_0003:ZU_KROZP;KYF_0004:ZU_OBLIG;KYF_0005:ZU_ROZKZ
2025001;1000000017;00003352;3270002;0327;PU10010000;;43677838.00 ;0.00 ;43677838.00 ;43677838.00 ;465795.00 
2025001;1000000017;00003352;3270002;0327;PU10020000;;14763108.00 ;0.00 ;14763108.00 ;14763108.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10030000;;435144.00 ;0.00 ;435144.00 ;435144.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10060000;;6554249.00 ;0.00 ;6554249.00 ;6554249.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10200000;;1055800.00 ;0.00 ;1055800.00 ;1055800.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10200100;;527900.00 ;0.00 ;527900.00 ;527900.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10200200;;527900.00 ;0.00 ;527900.00 ;527900.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10230000;;12200000.00 ;0.00 ;12200000.00 ;12200000.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10240000;;36960228.00 ;0.00 ;36960228.00 ;36960228.00 ;465795.00 
2025001;1000000017;00003352;3270002;0327;SU1010000000;;0.00 ;900.00 ;6200000.00 ;6200000.00 ;235680.00 
2025001;1000000017;00003352;3270002;0327;SU1030000000;;0.00 ;0.00 ;100000.00 ;100000.00 ;43261.00 
2025001;1000000017;00003352;3270002;0327;SU1030040000;;0.00 ;0.00 ;100000.00 ;100000.00 ;43261.00 
2025001;1000000017;00003352;3270002;0327;SU5040000000;;88766510.00 ;8649175.14 ;88766510.00 ;88766510.00 ;1773118.50 
2025001;1000000017;00003352;3270002;0327;PU10080000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10080100;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10080101;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10080102;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10080200;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10090000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10110000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10180000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10220000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10220100;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10220200;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;PU10250000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU1030010000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU1030030000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU5010000000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU5020000000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU5030000000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU5030010000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;1000000017;00003352;3270002;0327;SU5030040000;;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
