"""Fiskální rok/období"""FISCPER:0FISCPER;"""Kapitola"""FM_AREA:0FM_AREA;"""Prur. a spec. ukazat"""/BIC/ZC_PSUK:ZC_PSUK;"""Schválený rozpočet 0"""KYF_0001:ZU_ROZSCH;"""Rozpočet po změnách 0"""KYF_0002:ZU_ROZPZM;"""Konečný rozpočet 0"""KYF_0003:ZU_KROZP;"""Skutečnost 0"""KYF_0004:ZU_ROZKZ;"""Mimorozpočtové prostředky"""KYF_0005:ZU_ROZKZ;"""Čerpání nároků z nespotřebovaných výdajů"""KYF_0006:ZU_ROZKZ
2025001;0301;PU10010000;124634668.00 ;124634668.00 ;124634668.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10020000;42532118.00 ;42532118.00 ;42532118.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10030000;1173640.00 ;1173640.00 ;1173640.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10060000;117364047.00 ;117364047.00 ;117364047.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10080000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10080100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10080101;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10080102;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10080200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10090000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10200000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10200100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10200200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10220000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10220100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10220200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10230000;111840000.00 ;111840000.00 ;111840000.00 ;0.00 ;0.00 ;0.00 
0000000;0301;PU10240000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0301;PU10250000;60000000.00 ;60000000.00 ;60000000.00 ;0.00 ;0.00 ;0.00 
0000000;0301;SU1010000000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0301;SU1030000000;100000.00 ;100000.00 ;0.00 ;11844.00 ;0.00 ;0.00 
0000000;0301;SU1030010000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0301;SU1030030000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
