"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Česko","CZ","10278098"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Praha","CZ01","1186855"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Střední Čechy","CZ02","1111354"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Jihozápad","CZ03","1177982"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Severozápad","CZ04","1131974"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Severovýchod","CZ05","1489407"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Jihovýchod","CZ06","1658761"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Střední Morava","CZ07","1240355"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Moravskoslezsko","CZ08","1281410"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Hlavní město Praha","CZ010","1186855"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Středočeský kraj","CZ020","1111354"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Jihočeský kraj","CZ031","626112"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Plzeňský kraj","CZ032","551870"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Karlovarský kraj","CZ041","304823"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Ústecký kraj","CZ042","827151"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Liberecký kraj","CZ051","429012"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Královéhradecký kraj","CZ052","551651"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Pardubický kraj","CZ053","508744"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Kraj Vysočina","CZ063","521472"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Jihomoravský kraj","CZ064","1137289"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Olomoucký kraj","CZ071","642016"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Zlínský kraj","CZ072","598339"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2000","2000","Moravskoslezský kraj","CZ080","1281410"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Česko","CZ","10232027"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Praha","CZ01","1170476"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Střední Čechy","CZ02","1121591"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Jihozápad","CZ03","1176097"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Severozápad","CZ04","1124813"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Severovýchod","CZ05","1487400"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Jihovýchod","CZ06","1647278"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Střední Morava","CZ07","1234623"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Moravskoslezsko","CZ08","1269749"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2001","2001","Hlavní město Praha","CZ010","1170476"
