Rok,Orgán finanční správy,Druh příjmu,Počet evidovaných DS celkem,Evidovaných DS "FO",Evidovaných DS "PO",Evidovaných DS "PP"_"ZO",Evidovaných DS "O"_"K",Počet aktivních DS celkem,Aktivních DS "FO",Aktivních DS "PO",Aktivních DS "PP"_"ZO",Aktivních DS "O"_"K"
2015,Celá ČR,Daň z přidané hodnoty - tuzemské osoby - registrované,805124,491696,310537,0,2631,531549,291133,237754,0,2446
2015,Celá ČR,Daň z přidané hodnoty - zahraniční osoby,4372,348,4024,0,0,4372,348,4024,0,0
2015,Celá ČR,Daň z přidané hodnoty - tuzemské osoby - OID,6180,4668,1502,0,10,6180,4668,1502,0,10
2015,Celá ČR,Daň z přidané hodnoty - ostatní,24450,2905,868,20209,468,21687,2589,223,18875,0
2015,Celá ČR,Daň z přidané hodnoty - celkem,839236,499506,316577,20209,2684,563736,298728,243461,18875,2456
2015,Celá ČR,Daň z příjmů PO,574074,0,567795,1,6278,567865,0,561603,0,6262
2015,Celá ČR,Daň z příjmů FO - podnikatelé,2108547,2108547,0,0,0,957185,957185,0,0,0
2015,Celá ČR,Daň z příjmů FO - bez příjmu podle § 7,402045,402045,0,0,0,348462,348462,0,0,0
2015,Celá ČR,Daň z příjmů FO - nepodnikatelé,893605,893605,0,0,0,841627,841627,0,0,0
2015,Celá ČR,Daň z příjmů FO - celkem,3404197,3404197,0,0,0,2147274,2147274,0,0,0
2015,Celá ČR,Daň z příjmů FO - závislá činnost,673100,311898,349760,5090,6352,540273,219868,309444,4630,6331
2015,Celá ČR,Daň z příjmů PO - srážkou dle zvláštní sazby,71907,5501,63560,616,2230,52884,4579,46783,532,990
2015,Celá ČR,Daň z příjmů FO - srážkou dle zvláštní sazby,482733,189337,283170,3886,6340,409442,149565,250039,3536,6302
2015,Celá ČR,Daň silniční,1110097,843156,265138,0,1803,819694,590948,227529,0,1217
2015,Celá ČR,Daně s povinnou registrací - celkem,4044468,3443589,589266,5255,6358,2893709,2307513,575076,4772,6348
2015,Celá ČR,Daň z nemovitých věcí,4714829,4547448,161837,0,5544,3893619,3782728,106797,0,4094
2015,Celá ČR,Daň dědická,44391,44048,248,0,95,1482,1471,11,0,0
2015,Celá ČR,Daň darovací,86037,75530,7872,0,2635,1305,1210,92,0,3
2015,Celá ČR,Daň z převodu nemovitostí,495140,455951,33255,0,5934,3532,2963,453,0,116
2015,Celá ČR,Daň z nabytí nemovitých věcí,292064,268084,19135,0,4844,210418,191652,14546,0,4220
2015,Celá ČR,Majetkové daně - celkem,4937080,4756812,173743,0,6524,3945798,3830917,109354,0,5527
2015,Celá ČR,Loterie a jiné podobné hry,910,0,848,0,62,477,0,446,0,31
2015,Celá ČR,Pokuty v blokovém a správním řízení,19687,17144,2403,0,140,,,,,
2015,Celá ČR,Odvody za porušení rozpočtové kázně,13535,4649,6184,0,2702,,,,,
2015,Celá ČR,Ekologické druhy příjmů,5714,2604,1972,0,1138,,,,,
2015,Celá ČR,Depozitní druhy příjmů,124890,94722,29976,34,152,,,,,
2015,Celá ČR,Daně staré daňové soustavy,72378,66167,5965,18,228,,,,,
2015,Celá ČR,Druhy příjmů nezahrnuté,330914,214138,111050,979,4726,,,,,
2015,Celá ČR,Celkem počet DS,7108047,6404159,671397,25470,6758,5596241,4946982,618805,23647,6591
2015,FÚ pro hlavní město Prahu,Daň z přidané hodnoty - tuzemské osoby - registrované,190323,67621,122557,0,57,135168,41588,93457,0,53
2015,FÚ pro hlavní město Prahu,Daň z přidané hodnoty - zahraniční osoby,4234,313,3921,0,0,4234,313,3921,0,0
2015,FÚ pro hlavní město Prahu,Daň z přidané hodnoty - tuzemské osoby - OID,1996,1186,810,0,0,1996,1186,810,0,0
2015,FÚ pro hlavní město Prahu,Daň z přidané hodnoty - ostatní,18510,1224,446,16840,0,16795,1129,160,15506,0
2015,FÚ pro hlavní město Prahu,Daň z přidané hodnoty - celkem,214942,70337,127620,16840,57,158169,44216,98324,15506,53
2015,FÚ pro hlavní město Prahu,Daň z příjmů PO,210201,0,210162,0,39,208500,0,208464,0,36
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - podnikatelé,339129,339129,0,0,0,160359,160359,0,0,0
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - bez příjmu podle § 7,68469,68469,0,0,0,59072,59072,0,0,0
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - nepodnikatelé,116762,116762,0,0,0,107893,107893,0,0,0
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - celkem,524360,524360,0,0,0,327324,327324,0,0,0
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - závislá činnost,158524,36788,121032,646,58,133688,26295,106766,569,58
2015,FÚ pro hlavní město Prahu,Daň z příjmů PO - srážkou dle zvláštní sazby,23485,946,22450,69,20,17684,797,16820,57,10
2015,FÚ pro hlavní město Prahu,Daň z příjmů FO - srážkou dle zvláštní sazby,115612,25855,89232,467,58,99873,21327,78063,425,58
2015,FÚ pro hlavní město Prahu,Daň silniční,205374,114182,91173,0,19,155940,79068,76863,0,9
2015,FÚ pro hlavní město Prahu,Daně s povinnou registrací - celkem,745214,528103,216383,670,58,560768,347994,212123,593,58
2015,FÚ pro hlavní město Prahu,Daň z nemovitých věcí,450665,421904,28693,0,68,367076,348509,18514,0,53
2015,FÚ pro hlavní město Prahu,Daň dědická,4839,4777,58,0,4,171,168,3,0,0
2015,FÚ pro hlavní město Prahu,Daň darovací,7259,5760,1483,0,16,170,152,18,0,0
2015,FÚ pro hlavní město Prahu,Daň z převodu nemovitostí,30832,25306,5497,0,29,837,638,199,0,0
2015,FÚ pro hlavní město Prahu,Daň z nabytí nemovitých věcí,22418,19560,2854,0,4,13862,11925,1936,0,1
2015,FÚ pro hlavní město Prahu,Majetkové daně - celkem,470816,439734,31007,0,75,371516,352559,18904,0,53
2015,FÚ pro hlavní město Prahu,Loterie a jiné podobné hry,151,0,148,0,3,84,0,82,0,2
2015,FÚ pro hlavní město Prahu,Pokuty v blokovém a správním řízení,1516,1049,460,0,7,,,,,
