"KOD","TEXT"
"000000","Nezařazeno"
"010000","Rostlinná a živočišná výroba, myslivost a související činnosti"
"011100","Pěstování obilovin (kromě rýže), luštěnin a olejnatých semen"
"011300","Pěstování zeleniny a melounů, kořenů a hlíz"
"011900","Pěstování ostatních plodin jiných než trvalých"
"012400","Pěstování jádrového a peckového ovoce"
"012800","Pěstování koření, aromatických, léčivých a farmaceutických rostlin"
"012900","Pěstování ostatních trvalých plodin"
"013000","Množení rostlin"
"014000","Živočišná výroba"
"014100","Chov mléčného skotu"
"014200","Chov jiného skotu"
"014300","Chov koní a jiných koňovitých"
"014500","Chov ovcí a koz"
"014600","Chov prasat"
"014700","Chov drůbeže"
"014900","Chov ostatních zvířat"
"015000","Smíšené hospodářství"
"016000","Podpůrné činnosti pro zemědělství a posklizňové činnosti"
"016100","Podpůrné činnosti pro rostlinnou výrobu"
"016300","Posklizňové činnosti"
"016400","Zpracování osiva pro účely množení"
"017000","Lov a odchyt divokých zvířat a související činnosti"
"021000","Lesní hospodářství a jiné činnosti v oblasti lesnictví"
"022000","Těžba dřeva"
"024000","Podpůrné činnosti pro lesnictví"
"032200","Sladkovodní akvakultura"
"051010","Těžba černého uhlí"
"051020","Úprava černého uhlí"
"052010","Těžba hnědého uhlí, kromě lignitu"
"061000","Těžba ropy"
"072110","Těžba uranových a thoriových rud"
"080000","Ostatní těžba a dobývání"
"081100","Dobývání kamene pro výtvarné nebo stavební účely, vápence, sádrovce, křídy a břidlice"
"081200","Provoz pískoven a štěrkopískoven; těžba jílů a kaolinu"
"089100","Těžba chemických minerálů a minerálů pro výrobu hnojiv"
"089200","Těžba rašeliny"
"089900","Ostatní těžba a dobývání j. n."
"090000","Podpůrné činnosti při těžbě"
"091000","Podpůrné činnosti při těžbě ropy a zemního plynu"
"099000","Podpůrné činnosti při ostatní těžbě a dobývání"
"101100","Zpracování a konzervování masa, kromě drůbežího"
"101200","Zpracování a konzervování drůbežího masa"
"101300","Výroba masných výrobků a výrobků z drůbežího masa"
