"ROK","ICP","TYP","FUEL_NAME"
2022,119805582,"TECHN","zemní plyn"
2022,119809642,"TECHN","propan, butan a jejich směsi"
2022,119812352,"TECHN","zemní plyn"
2022,210144602,"TECHN","zemní plyn"
2022,210200312,"TECHN","zemní plyn"
2022,210200452,"TECHN","zemní plyn"
2022,210200822,"TECHN","propan, butan a jejich směsi"
2022,210202272,"TECHN","bioplyn"
2022,210202732,"TECHN","zemní plyn"
2022,210304272,"TECHN","zemní plyn"
2022,210400532,"TECHN","propan, butan a jejich směsi"
2022,210470052,"TECHN","zemní plyn"
2022,210502892,"TECHN","zemní plyn"
2022,210557562,"TECHN","dřevní biomasa"
2022,210570712,"TECHN","bioplyn"
2022,210570712,"TECHN","skládkový plyn"
2022,210700022,"TECHN","zemní plyn"
2022,210700692,"TECHN","dřevní biomasa"
2022,210842522,"TECHN","zemní plyn"
2022,210842522,"TECHN","bioplyn"
2022,210842622,"TECHN","zemní plyn"
2022,210901492,"TECHN","zemní plyn"
2022,210901712,"TECHN","zemní plyn"
2022,210901782,"TECHN","zemní plyn"
2022,210970172,"TECHN","zemní plyn"
2022,210970242,"TECHN","zemní plyn"
2022,211000882,"TECHN","zemní plyn"
2022,211001242,"TECHN","zemní plyn"
2022,211001792,"TECHN","zemní plyn"
2022,211070072,"TECHN","zemní plyn"
2022,211070322,"TECHN","zemní plyn"
2022,211070352,"TECHN","zemní plyn"
2022,211070612,"TECHN","dřevní biomasa"
2022,211200802,"TECHN","zemní plyn"
2022,211201362,"TECHN","zemní plyn"
2022,211270192,"TECHN","propan, butan a jejich směsi"
2022,211300892,"TECHN","zemní plyn"
2022,211400012,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,211402082,"TECHN","zemní plyn"
2022,211402562,"TECHN","propan, butan a jejich směsi"
2022,211500162,"TECHN","propan, butan a jejich směsi"
2022,211500282,"TECHN","zemní plyn"
2022,211512332,"TECHN","propan, butan a jejich směsi"
2022,211570182,"TECHN","bioplyn"
2022,211570232,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,211670122,"TECHN","zemní plyn"
2022,211801862,"TECHN","zemní plyn"
2022,211801892,"TECHN","zemní plyn"
2022,212007272,"TECHN","bioplyn"
2022,212007682,"TECHN","zemní plyn"
2022,212100052,"TECHN","zemní plyn"
2022,212100412,"TECHN","dřevní biomasa"
2022,212101622,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,212200522,"TECHN","zemní plyn"
2022,212201702,"TECHN","zemní plyn"
2022,212201722,"TECHN","zemní plyn"
2022,212203392,"TECHN","zemní plyn"
2022,212270072,"TECHN","zemní plyn"
2022,212270482,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,212398142,"TECHN","zemní plyn"
2022,212398372,"TECHN","bioplyn"
2022,212400282,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,212400282,"TECHN","zemní plyn"
2022,212470012,"TECHN","zemní plyn"
2022,212470022,"TECHN","zemní plyn"
2022,212470132,"TECHN","zemní plyn"
2022,212470312,"TECHN","bioplyn"
2022,212500162,"TECHN","zemní plyn"
2022,212603492,"TECHN","zemní plyn"
2022,212604522,"TECHN","zemní plyn"
2022,212670102,"TECHN","zemní plyn"
2022,310046822,"TECHN","zemní plyn"
2022,310051792,"TECHN","zemní plyn"
2022,310053912,"TECHN","zemní plyn"
2022,310093702,"TECHN","zemní plyn"
2022,310094422,"TECHN","zemní plyn"
2022,310097342,"TECHN","zemní plyn"
2022,310097422,"TECHN","zemní plyn"
2022,310099322,"TECHN","jiné kapalné palivo"
2022,310101812,"TECHN","zemní plyn"
2022,310104742,"TECHN","zemní plyn"
2022,310200332,"TECHN","zemní plyn"
2022,310200472,"TECHN","zemní plyn"
2022,310200962,"TECHN","zemní plyn"
2022,310202802,"TECHN","zemní plyn"
2022,310202922,"TECHN","zemní plyn"
2022,310270502,"TECHN","bioplyn"
2022,310270592,"TECHN","propan, butan a jejich směsi"
2022,310270602,"TECHN","zemní plyn"
2022,310301872,"TECHN","zemní plyn"
2022,310400542,"TECHN","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,310470122,"TECHN","dřevní biomasa"
2022,310500232,"TECHN","zemní plyn"
2022,310501502,"TECHN","zemní plyn"
2022,310501632,"TECHN","zemní plyn"
2022,310501732,"TECHN","bioplyn"
2022,310570302,"TECHN","bioplyn"
2022,310800032,"TECHN","zemní plyn"
2022,310800072,"TECHN","zemní plyn"
2022,310870102,"TECHN","zemní plyn"
2022,310970122,"TECHN","bioplyn"
2022,311033412,"TECHN","zemní plyn"
2022,311033412,"TECHN","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,311033412,"TECHN","dřevní biomasa"
2022,311070242,"TECHN","bioplyn"
2022,311100452,"TECHN","zemní plyn"
2022,311170212,"TECHN","nafta"
2022,311200662,"TECHN","zemní plyn"
2022,311200702,"TECHN","zemní plyn"
2022,311220752,"TECHN","zemní plyn"
2022,311220792,"TECHN","zemní plyn"
2022,311250762,"TECHN","propan, butan a jejich směsi"
