"ROK","ICP","TYP","FUEL_NAME"
2022,119800092,"SPAL","zemní plyn"
2022,119800132,"SPAL","zemní plyn"
2022,119800142,"SPAL","zemní plyn"
2022,119800152,"SPAL","zemní plyn"
2022,119800192,"SPAL","zemní plyn"
2022,119800302,"SPAL","zemní plyn"
2022,119800332,"SPAL","zemní plyn"
2022,119800342,"SPAL","zemní plyn"
2022,119800442,"SPAL","zemní plyn"
2022,119800462,"SPAL","zemní plyn"
2022,119800472,"SPAL","zemní plyn"
2022,119800542,"SPAL","zemní plyn"
2022,119800632,"SPAL","zemní plyn"
2022,119800852,"SPAL","zemní plyn"
2022,119800862,"SPAL","zemní plyn"
2022,119800892,"SPAL","zemní plyn"
2022,119800902,"SPAL","zemní plyn"
2022,119800942,"SPAL","zemní plyn"
2022,119801012,"SPAL","zemní plyn"
2022,119801022,"SPAL","zemní plyn"
2022,119801052,"SPAL","zemní plyn"
2022,119801062,"SPAL","zemní plyn"
2022,119801102,"SPAL","zemní plyn"
2022,119801172,"SPAL","zemní plyn"
2022,119801362,"SPAL","zemní plyn"
2022,119801632,"SPAL","zemní plyn"
2022,119801652,"SPAL","zemní plyn"
2022,119801672,"SPAL","zemní plyn"
2022,119801702,"SPAL","zemní plyn"
2022,119801722,"SPAL","zemní plyn"
2022,119801852,"SPAL","zemní plyn"
2022,119801922,"SPAL","zemní plyn"
2022,119802002,"SPAL","zemní plyn"
2022,119802012,"SPAL","zemní plyn"
2022,119802012,"SPAL","nafta"
2022,119802082,"SPAL","zemní plyn"
2022,119802312,"SPAL","zemní plyn"
2022,119802332,"SPAL","zemní plyn"
2022,119802372,"SPAL","zemní plyn"
2022,119802732,"SPAL","zemní plyn"
2022,119802982,"SPAL","zemní plyn"
2022,119803082,"SPAL","nafta"
2022,119803082,"SPAL","zemní plyn"
2022,119803192,"SPAL","nafta"
2022,119803192,"SPAL","zemní plyn"
2022,119803232,"SPAL","zemní plyn"
2022,119803252,"SPAL","zemní plyn"
2022,119803602,"SPAL","zemní plyn"
2022,119803652,"SPAL","nafta"
2022,119803652,"SPAL","zemní plyn"
2022,119803782,"SPAL","zemní plyn"
2022,119804022,"SPAL","nafta"
2022,119804022,"SPAL","zemní plyn"
2022,119804432,"SPAL","zemní plyn"
2022,119804452,"SPAL","zemní plyn"
2022,119804522,"SPAL","zemní plyn"
2022,119804662,"SPAL","zemní plyn"
2022,119805012,"SPAL","zemní plyn"
2022,119805022,"SPAL","zemní plyn"
2022,119805382,"SPAL","zemní plyn"
2022,119805702,"SPAL","zemní plyn"
2022,119805752,"SPAL","zemní plyn"
2022,119805762,"SPAL","zemní plyn"
2022,119805772,"SPAL","zemní plyn"
2022,119805782,"SPAL","zemní plyn"
2022,119805792,"SPAL","zemní plyn"
2022,119805802,"SPAL","zemní plyn"
2022,119805812,"SPAL","zemní plyn"
2022,119805822,"SPAL","zemní plyn"
2022,119805832,"SPAL","zemní plyn"
2022,119805842,"SPAL","zemní plyn"
2022,119805852,"SPAL","zemní plyn"
2022,119805902,"SPAL","zemní plyn"
2022,119805922,"SPAL","zemní plyn"
2022,119806382,"SPAL","zemní plyn"
2022,119806382,"SPAL","nafta"
2022,119806702,"SPAL","zemní plyn"
2022,119806852,"SPAL","zemní plyn"
2022,119806892,"SPAL","zemní plyn"
2022,119806922,"SPAL","zemní plyn"
2022,119806932,"SPAL","zemní plyn"
2022,119806942,"SPAL","zemní plyn"
2022,119807042,"SPAL","zemní plyn"
2022,119807112,"SPAL","zemní plyn"
2022,119807132,"SPAL","zemní plyn"
2022,119807142,"SPAL","zemní plyn"
2022,119807582,"SPAL","nafta"
2022,119807692,"SPAL","zemní plyn"
2022,119807712,"SPAL","zemní plyn"
2022,119807722,"SPAL","zemní plyn"
2022,119807982,"SPAL","zemní plyn"
2022,119807992,"SPAL","zemní plyn"
2022,119808042,"SPAL","zemní plyn"
2022,119808062,"SPAL","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,119808082,"SPAL","zemní plyn"
2022,119808112,"SPAL","zemní plyn"
2022,119808122,"SPAL","zemní plyn"
2022,119808202,"SPAL","zemní plyn"
2022,119808232,"SPAL","zemní plyn"
2022,119808572,"SPAL","zemní plyn"
2022,119808582,"SPAL","zemní plyn"
2022,119808822,"SPAL","zemní plyn"
2022,119809022,"SPAL","zemní plyn"
2022,119809172,"SPAL","zemní plyn"
2022,119810552,"SPAL","zemní plyn"
2022,119810592,"SPAL","zemní plyn"
2022,119810622,"SPAL","zemní plyn"
2022,119810682,"SPAL","zemní plyn"
2022,119810692,"SPAL","zemní plyn"
2022,119810702,"SPAL","zemní plyn"
2022,119810722,"SPAL","zemní plyn"
2022,119810852,"SPAL","zemní plyn"
2022,119810962,"SPAL","zemní plyn"
2022,119810972,"SPAL","nafta"
2022,119810972,"SPAL","zemní plyn"
2022,119810982,"SPAL","zemní plyn"
2022,119810982,"SPAL","nafta"
2022,119811012,"SPAL","zemní plyn"
2022,119811082,"SPAL","zemní plyn"
2022,119811102,"SPAL","zemní plyn"
2022,119811112,"SPAL","zemní plyn"
2022,119811122,"SPAL","zemní plyn"
2022,119811132,"SPAL","zemní plyn"
2022,119811142,"SPAL","zemní plyn"
2022,119811172,"SPAL","zemní plyn"
2022,119811182,"SPAL","zemní plyn"
2022,119811202,"SPAL","zemní plyn"
2022,119811212,"SPAL","zemní plyn"
2022,119811262,"SPAL","zemní plyn"
2022,119811272,"SPAL","zemní plyn"
2022,119811282,"SPAL","zemní plyn"
2022,119811292,"SPAL","zemní plyn"
2022,119811302,"SPAL","zemní plyn"
2022,119811312,"SPAL","zemní plyn"
2022,119811332,"SPAL","zemní plyn"
2022,119811352,"SPAL","zemní plyn"
2022,119811382,"SPAL","zemní plyn"
2022,119811392,"SPAL","zemní plyn"
2022,119811402,"SPAL","zemní plyn"
2022,119811412,"SPAL","zemní plyn"
2022,119811422,"SPAL","zemní plyn"
2022,119811432,"SPAL","zemní plyn"
2022,119811442,"SPAL","zemní plyn"
2022,119811452,"SPAL","zemní plyn"
2022,119811462,"SPAL","zemní plyn"
2022,119811492,"SPAL","zemní plyn"
2022,119811502,"SPAL","zemní plyn"
2022,119811522,"SPAL","zemní plyn"
2022,119811532,"SPAL","zemní plyn"
2022,119811542,"SPAL","zemní plyn"
2022,119811552,"SPAL","zemní plyn"
2022,119811562,"SPAL","zemní plyn"
2022,119811572,"SPAL","zemní plyn"
2022,119811582,"SPAL","zemní plyn"
2022,119811592,"SPAL","zemní plyn"
2022,119811602,"SPAL","zemní plyn"
2022,119811612,"SPAL","zemní plyn"
2022,119811632,"SPAL","zemní plyn"
2022,119811642,"SPAL","zemní plyn"
2022,119811652,"SPAL","zemní plyn"
2022,119811662,"SPAL","zemní plyn"
2022,119811672,"SPAL","zemní plyn"
2022,119811692,"SPAL","zemní plyn"
2022,119811732,"SPAL","zemní plyn"
2022,119811742,"SPAL","zemní plyn"
2022,119811752,"SPAL","zemní plyn"
2022,119811772,"SPAL","zemní plyn"
2022,119811782,"SPAL","zemní plyn"
2022,119811792,"SPAL","zemní plyn"
2022,119811802,"SPAL","zemní plyn"
2022,119812042,"SPAL","nafta"
2022,119812042,"SPAL","zemní plyn"
2022,119812062,"SPAL","zemní plyn"
2022,119812322,"SPAL","zemní plyn"
2022,119812332,"SPAL","nafta"
2022,119812382,"SPAL","zemní plyn"
2022,119812452,"SPAL","nafta"
2022,119812462,"SPAL","nafta"
2022,119812472,"SPAL","nafta"
2022,119812542,"SPAL","zemní plyn"
2022,119812602,"SPAL","zemní plyn"
2022,119812632,"SPAL","nafta"
2022,119812802,"SPAL","nafta"
2022,119813122,"SPAL","nafta"
2022,119813262,"SPAL","nafta"
2022,119813282,"SPAL","zemní plyn"
2022,119813302,"SPAL","zemní plyn"
2022,119813322,"SPAL","zemní plyn"
2022,119813332,"SPAL","zemní plyn"
2022,119813372,"SPAL","zemní plyn"
2022,119813382,"SPAL","zemní plyn"
2022,119813392,"SPAL","nafta"
2022,119813402,"SPAL","zemní plyn"
2022,119813422,"SPAL","zemní plyn"
2022,119813432,"SPAL","nafta"
2022,119813502,"SPAL","zemní plyn"
2022,119813512,"SPAL","zemní plyn"
2022,119813562,"SPAL","zemní plyn"
2022,119813742,"SPAL","zemní plyn"
2022,119813822,"SPAL","zemní plyn"
2022,119813832,"SPAL","zemní plyn"
2022,119813912,"SPAL","zemní plyn"
2022,119813922,"SPAL","zemní plyn"
2022,119813972,"SPAL","zemní plyn"
2022,119814402,"SPAL","nafta"
2022,119814412,"SPAL","nafta"
2022,119814422,"SPAL","nafta"
2022,119814432,"SPAL","nafta"
2022,119814442,"SPAL","nafta"
2022,119814462,"SPAL","nafta"
2022,119814642,"SPAL","zemní plyn"
2022,119814652,"SPAL","zemní plyn"
2022,119814662,"SPAL","zemní plyn"
2022,210100532,"SPAL","hnědé uhlí tříděné"
2022,210100922,"SPAL","zemní plyn"
2022,210101012,"SPAL","zemní plyn"
2022,210101562,"SPAL","zemní plyn"
2022,210101742,"SPAL","zemní plyn"
2022,210102042,"SPAL","zemní plyn"
2022,210102752,"SPAL","zemní plyn"
2022,210103622,"SPAL","zemní plyn"
2022,210104402,"SPAL","zemní plyn"
2022,210104672,"SPAL","zemní plyn"
2022,210105662,"SPAL","propan, butan a jejich směsi"
2022,210106072,"SPAL","zemní plyn"
2022,210106092,"SPAL","zemní plyn"
2022,210106132,"SPAL","zemní plyn"
2022,210106912,"SPAL","hnědé uhlí tříděné"
2022,210107142,"SPAL","propan, butan a jejich směsi"
2022,210107312,"SPAL","výlisky z uhlí"
2022,210107692,"SPAL","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,210107932,"SPAL","bioplyn"
2022,210144532,"SPAL","zemní plyn"
2022,210144532,"SPAL","nafta"
2022,210144802,"SPAL","zemní plyn"
2022,210170022,"SPAL","zemní plyn"
2022,210170432,"SPAL","bioplyn"
2022,210170442,"SPAL","zemní plyn"
2022,210170452,"SPAL","zemní plyn"
2022,210170472,"SPAL","hnědé uhlí tříděné"
2022,210170512,"SPAL","zemní plyn"
2022,210170542,"SPAL","zemní plyn"
2022,210200132,"SPAL","zemní plyn"
2022,210200162,"SPAL","zemní plyn"
2022,210200312,"SPAL","zemní plyn"
2022,210200312,"SPAL","nafta"
2022,210200352,"SPAL","zemní plyn"
2022,210200392,"SPAL","zemní plyn"
2022,210200412,"SPAL","zemní plyn"
2022,210200432,"SPAL","zemní plyn"
2022,210200452,"SPAL","zemní plyn"
2022,210200592,"SPAL","zemní plyn"
2022,210200782,"SPAL","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,210200902,"SPAL","zemní plyn"
2022,210200982,"SPAL","zemní plyn"
2022,210202272,"SPAL","bioplyn"
2022,210202292,"SPAL","zemní plyn"
2022,210202452,"SPAL","plynové oleje pro topení (obsah síry max. do 0,1 % vč.)"
2022,210202522,"SPAL","propan, butan a jejich směsi"
2022,210202762,"SPAL","jiný druh biomasy"
2022,210202992,"SPAL","nafta"
2022,210270022,"SPAL","zemní plyn"
2022,210270082,"SPAL","topné oleje nízkosirné (obsah síry více než 0,1% a max. do 1 % vč.)"
2022,210270122,"SPAL","zemní plyn"
2022,210270122,"SPAL","nafta"
2022,210270222,"SPAL","propan, butan a jejich směsi"
2022,210300042,"SPAL","zemní plyn"
2022,210300142,"SPAL","zemní plyn"
2022,210300162,"SPAL","nafta"
2022,210300172,"SPAL","zemní plyn"
2022,210300232,"SPAL","zemní plyn"
2022,210300302,"SPAL","zemní plyn"
2022,210300302,"SPAL","nafta"
2022,210300432,"SPAL","zemní plyn"
2022,210300612,"SPAL","zemní plyn"
2022,210300712,"SPAL","zemní plyn"
2022,210300732,"SPAL","zemní plyn"
2022,210300742,"SPAL","zemní plyn"
2022,210300752,"SPAL","zemní plyn"
2022,210300762,"SPAL","zemní plyn"
2022,210300782,"SPAL","zemní plyn"
2022,210300822,"SPAL","zemní plyn"
2022,210300842,"SPAL","zemní plyn"
2022,210300882,"SPAL","dřevní biomasa"
2022,210300902,"SPAL","zemní plyn"
2022,210301112,"SPAL","zemní plyn"
2022,210301132,"SPAL","zemní plyn"
2022,210301412,"SPAL","zemní plyn"
2022,210304442,"SPAL","zemní plyn"
