"ROK","ICP","ICO","NACE"
2022,119800092,25614631,"682020"
2022,119800132,75151481,"842400"
2022,119800142,75151481,"842400"
2022,119800152,75151481,"842400"
2022,119800192,67985874,"721900"
2022,119800302,64335,"900100"
2022,119800332,1279,"181200"
2022,119800342,26781026,"749090"
2022,119800442,45193410,"353010"
2022,119800462,45193410,"353010"
2022,119800472,45193410,"353010"
2022,119800542,45277346,"353010"
2022,119800632,27104290,"432200"
2022,119800852,45277346,"353010"
2022,119800862,45277346,"353010"
2022,119800892,63072599,"353010"
2022,119800902,63072599,"353010"
2022,119800942,29048141,"452000"
2022,119800982,26166879,"383200"
2022,119801012,45277346,"353010"
2022,119801022,45277346,"353010"
2022,119801052,45277346,"353010"
2022,119801062,45277346,"353010"
2022,119801102,28506120,"109100"
2022,119801172,60436140,"853110"
2022,119801312,61459445,"611040"
2022,119801352,48038687,"473000"
2022,119801362,,"351300"
2022,119801532,47124601,"271100"
2022,119801632,25055925,"353010"
2022,119801652,27361861,"551010"
2022,119801672,27361861,"551010"
2022,119801702,27361861,"551010"
2022,119801722,28378563,"682000"
2022,119801852,27637646,"682020"
2022,119801922,25653270,"682020"
2022,119802002,45279942,"682000"
2022,119802012,26310554,"682020"
2022,119802052,60194120,"381100"
2022,119802082,,"351300"
2022,119802312,18628966,"683200"
2022,119802332,18628966,"683200"
2022,119802372,7064,"841100"
2022,119802732,45792054,"353000"
2022,119802982,45792054,"353000"
2022,119803082,25605305,"551010"
2022,119803192,28993462,"682020"
2022,119803232,72080043,"841100"
2022,119803252,72080043,"841100"
2022,119803602,28170644,"682020"
2022,119803652,49240552,"682020"
2022,119803782,25068695,"682020"
2022,119804022,64945880,"471100"
2022,119804432,64203,"861000"
2022,119804452,72080043,"841100"
2022,119804492,25607481,"251100"
2022,119804522,25208047,"451100"
2022,119804662,147893,"212000"
2022,119805012,63992001,"432200"
2022,119805022,45193410,"353010"
2022,119805382,49613332,"242000"
2022,119805582,26435713,"451100"
2022,119805702,19305,"712000"
2022,119805752,45193410,"353010"
2022,119805762,45193410,"353010"
2022,119805772,45193410,"353010"
2022,119805782,45193410,"353010"
2022,119805792,45193410,"353010"
2022,119805802,45193410,"353010"
2022,119805812,45193410,"353010"
2022,119805822,45193410,"353010"
2022,119805832,45193410,"353010"
2022,119805842,45193410,"353010"
2022,119805852,45193410,"353010"
2022,119805902,1279,"181200"
2022,119805912,1279,"181200"
2022,119805922,48026841,"682000"
2022,119806382,24738875,"612090"
2022,119806682,25541617,"452000"
2022,119806702,70837911,"853220"
2022,119806852,507351,"682020"
2022,119806892,26204673,"873010"
2022,119806922,23281,"910200"
2022,119806932,23281,"910200"
2022,119806942,27182568,"702200"
2022,119807042,18562,"841300"
2022,119807112,45193410,"353010"
2022,119807132,45193410,"353010"
2022,119807142,45193410,"353010"
2022,119807582,7064,"841100"
2022,119807592,24789488,"452000"
2022,119807692,72080043,"841100"
2022,119807712,72080043,"841100"
2022,119807722,72080043,"841100"
2022,119807872,48038687,"473000"
2022,119807982,27387852,"682000"
2022,119807992,27387852,"682000"
2022,119808042,25602179,"683200"
2022,119808062,27892638,"236300"
2022,119808072,27892638,"236300"
2022,119808082,27892638,"236300"
2022,119808112,27161030,"682000"
2022,119808122,551899,"931100"
2022,119808202,23281,"910200"
2022,119808232,28373057,"353000"
2022,119808432,25768646,"181200"
2022,119808572,25511939,"303000"
2022,119808582,45795223,"682020"
2022,119808782,64572,"910400"
2022,119808822,47124652,"451100"
2022,119809022,70889660,"841100"
2022,119809072,49823574,"473000"
2022,119809172,73634085,"861000"
2022,119809642,28524527,"181200"
2022,119809762,26496178,"473000"
2022,119810362,26772574,"473000"
2022,119810552,45193410,"353010"
2022,119810592,45193410,"353010"
2022,119810622,45788677,"353010"
2022,119810682,46887202,"682000"
2022,119810692,45193410,"353010"
2022,119810702,45193410,"353010"
2022,119810722,551899,"931100"
2022,119810852,45193410,"353010"
2022,119810882,28093020,"473000"
2022,119810962,28510011,"353010"
2022,119810972,26493993,"920000"
2022,119810982,26493993,"920000"
2022,119811012,43005560,"421100"
2022,119811082,28510011,"353010"
2022,119811102,28510011,"353010"
2022,119811112,28510011,"353010"
2022,119811122,28510011,"353010"
2022,119811132,28510011,"353010"
2022,119811142,28510011,"353010"
