"ROK","IDFPROV","EMISE","EMI_MNO_T"
2023,119800092,"oxid uhelnatý (CO)",0.1690
2023,119800092,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.4040
2023,119800982,"tuhé znečišťující látky (TZL)",13.47
2023,119801532,"těkavé organické látky (VOC)",0.1770
2023,119803192,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0040
2023,119803192,"oxid uhelnatý (CO)",0.0190
2023,119803192,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1130
2023,119803192,"oxidy síry vyjádřené jako oxid siřičitý (SO2)",0
2023,119803192,"tuhé znečišťující látky (TZL)",0.0180
2023,119804662,"oxid uhelnatý (CO)",0.0360
2023,119804662,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2850
2023,119804662,"těkavé organické látky (VOC)",4.0240
2023,119805582,"oxid uhelnatý (CO)",0.0010
2023,119805582,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.02
2023,119805582,"těkavé organické látky (VOC)",0.2190
2023,119805902,"chlor a plynné anorganické sloučeniny chloru (kromě chlorkyanu) vyjádřené jako chlorovodík (HCl)",0.000506
2023,119805902,"nikl",0.00000092
2023,119805902,"organické látky vyjádřené jako celkový organický uhlík (TOC)",2.53
2023,119805902,"oxid uhelnatý (CO)",0
2023,119805902,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0130
2023,119805902,"šestimocný chrom",0
2023,119805912,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.1080
2023,119806382,"oxid uhelnatý (CO)",0.0020
2023,119806382,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0550
2023,119806682,"těkavé organické látky (VOC)",1.0180
2023,119808062,"oxid uhelnatý (CO)",0.0010
2023,119808062,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0270
2023,119808062,"tuhé znečišťující látky (TZL)",0.7080
2023,119808072,"tuhé znečišťující látky (TZL)",0.5740
2023,119808082,"oxid uhelnatý (CO)",0.0030
2023,119808082,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0060
2023,119808082,"tuhé znečišťující látky (TZL)",0.1780
2023,119808432,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.0910
2023,119808432,"těkavé organické látky (VOC)",0.1310
2023,119808822,"oxid uhelnatý (CO)",0.0050
2023,119808822,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0350
2023,119808822,"těkavé organické látky (VOC)",0.6850
2023,119810592,"oxid uhelnatý (CO)",0.0020
2023,119810592,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0090
2023,119812352,"těkavé organické látky (VOC)",0.2320
2023,119813322,"oxid uhelnatý (CO)",0.0060
2023,119813322,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.13
2023,119813422,"oxid uhelnatý (CO)",0
2023,119813422,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.1170
2023,119813912,"oxid uhelnatý (CO)",0.4840
2023,119813912,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.8420
2023,119813922,"oxid uhelnatý (CO)",0.2890
2023,119813922,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.5020
2023,210100922,"oxid uhelnatý (CO)",0.0480
2023,210100922,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",4.60
2023,210101742,"oxid uhelnatý (CO)",0.0140
2023,210101742,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2010
