"ROK","ICP","TYP_OHL","NAZEV","ULICE","C_P","C_O","P_MC","P_COB","OBEC","PSC","KOD_OKRESU","NAZEV_ZUJ","KOD_ZUJ","KOD_OBCE","CELK_PRIKON_MW","SOUR_SS_S","SOUR_SS_M","SOUR_SS_V","SOUR_VD_S","SOUR_VD_M","SOUR_VD_V"
2023,119800092,"REZZO1","HOSTIVAŘ, a.s.","U továren","770","1b","Praha 15","Hostivař","Praha",10200,"CZ0100","Praha 15","547387","554782",1.5990,"50","3","24,6672","14","31","50,9484"
2023,119800132,"REZZO2","Krajské ředitelství policie Středočeského kraje - Praha, Zborovská","Zborovská","1505","13","Praha 5","Smíchov","Praha",15000,"CZ0100","Praha 5","500143","554782",,"50","4","32,0628","14","24","26,73"
2023,119800142,"REZZO2","Krajské ředitelství policie Středočeského kraje - Praha, Mladoboleslavská","Mladoboleslavská","38","","Praha-Vinoř","Vinoř","Praha",19017,"CZ0100","Praha-Vinoř","539007","554782",,"50","8","26,3328","14","34","44,6808"
2023,119800152,"REZZO2","Krajské ředitelství policie Středočeského kraje - Praha, Křižíkova","Křižíkova","279","8","Praha 8","Karlín","Praha",18600,"CZ0100","Praha 8","500208","554782",,"50","5","24,198","14","26","25,9188"
2023,119800192,"REZZO2","Ústav pro hydrodynamiku AV ČR, v.v.i.","Pod Paťankou","30","5","Praha 6","Dejvice","Praha",16000,"CZ0100","Praha 6","500178","554782",,"50","6","57,7836","14","23","28,122"
2023,119800302,"REZZO2","Hudební divadlo v Karlíně","Křižíkova","283","10","Praha 8","Karlín","Praha",18600,"CZ0100","Praha 8","500208","554782",,"50","5","24,7524","14","26","28,4172"
2023,119800332,"REZZO2","STÁTNÍ TISKÁRNA CENIN, státní podnik, Výrobní závod II","Za viaduktem","1143","8","Praha 7","Holešovice","Praha",17000,"CZ0100","Praha 7","500186","554782",,"50","5","57,8616","14","26","29,9976"
2023,119800342,"REZZO2","ENERGOCENTRUM PLUS, s.r.o.- Karlovo nám. FEL","Karlovo náměstí","293","13","Praha 2","Nové Město","Praha",12000,"CZ0100","Praha 2","500089","554782",,"50","4","34,4568","14","25","8,5224"
2023,119800442,"REZZO2","Veolia Energie ČR, a.s. - 602 Gallery myšák","Vodičkova","710","31","Praha 1","","Praha",11000,"CZ0100","Praha 1","500054","554782",,"50","4","52,2876","14","25","28,6464"
2023,119800462,"REZZO2","Veolia Energie ČR, a.s. - 677 SOU služeb","Novovysočanská","501","5","Praha 9","","Praha",19000,"CZ0100","Praha 9","500216","554782",,"50","6","1,5444","14","29","10,986"
